DinhDanh:ID(Country),Nhan,Mota,LinkTrichRut,ThoiGianTrichRut
My0,My,Chau My,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Wed Dec 26 2018
Lao1,Lao,Chau My,http://kenh14.vn/tv-show.chn,Tue Dec 25 2018
Nga2,Nga,Chau Au,https://xuanhung937556578.wordpress.com/,Mon Dec 24 2018
My3,My,Dan so: 30 trieu nguoi,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Sun Dec 23 2018
Nhat4,Nhat,Dan so: 30 trieu nguoi,https://www.24h.com.vn/bong-da-c48.html,Sat Dec 22 2018
Viet_Nam5,Viet Nam,Chau Au,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Fri Dec 21 2018
My6,My,Dan so: 30 trieu nguoi,https://techtalk.vn/category/dev,Thu Dec 20 2018
Lao7,Lao,Co tiem luc kinh te lon,https://www.youtube.com/,Wed Dec 19 2018
Duc8,Duc,Co tiem luc kinh te lon,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Tue Dec 18 2018
Nga9,Nga,Dan so: 30 trieu nguoi,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Mon Dec 17 2018
Anh10,Anh,Chau Au,http://cafebiz.vn/vietjet-tro-thanh-hang-hang-khong-lon-thu-2,Sun Dec 16 2018
Lao11,Lao,Dong Nam A,https://violympic.vn/bong-da-c48.html,Sat Dec 15 2018
My12,My,Co tiem luc kinh te lon,https://www.youtube.com/,Fri Dec 14 2018
Duc13,Duc,Co tiem luc kinh te lon,https://www.facebook.com/,Thu Dec 13 2018
Phap14,Phap,Dong Nam A,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Wed Dec 12 2018
Viet_Nam15,Viet Nam,Chau Au,https://linkerpt.com/lap-trinh,Tue Dec 11 2018
